"","rci2001","rci2011","rci2001.1","rci2011.1","rci2001.2","rci2011.2","jsadiff","isdiff","ibdiff","city"
"dist.a",0.2134,0.148,0.1333,0.0537,0.1012,0.0275,-0.0654,-0.0796,-0.0737,"Birmingham"
"dist.b",0.2153,0.1522,0.1409,0.0636,0.1058,0.0349,-0.063,-0.0772,-0.0708,"Birmingham"
"dist.c",0.214,0.147,0.1355,0.0578,0.1022,0.0301,-0.067,-0.0777,-0.0721,"Birmingham"
"dist.d",0.2152,0.1497,0.1371,0.0586,0.1035,0.031,-0.0655,-0.0785,-0.0725,"Birmingham"
"dist.a1",0.3148,0.2457,0.2522,0.2307,0.1637,0.1082,-0.069,-0.0215,-0.0555,"Leeds"
"dist.b1",0.3292,0.2667,0.2678,0.2563,0.1778,0.125,-0.0624,-0.0115,-0.0528,"Leeds"
"dist.c1",0.328,0.2674,0.2671,0.2553,0.1779,0.1246,-0.0606,-0.0117,-0.0533,"Leeds"
"dist.d1",0.3259,0.2616,0.2642,0.2491,0.1742,0.1203,-0.0643,-0.0151,-0.0539,"Leeds"
"dist.a2",0.1621,0.0602,0.0973,0.0452,0.0456,-0.0089,-0.1019,-0.0521,-0.0545,"Sheffield"
"dist.b2",0.1632,0.0605,0.0982,0.047,0.0466,-0.0077,-0.1027,-0.0512,-0.0543,"Sheffield"
"dist.c2",0.1772,0.0826,0.1188,0.0716,0.0614,0.0109,-0.0946,-0.0473,-0.0506,"Sheffield"
"dist.d2",0.1684,0.0679,0.1054,0.0546,0.0517,-0.0019,-0.1005,-0.0507,-0.0536,"Sheffield"
"dist.a3",0.2607,0.19,0.2146,0.2008,0.1719,0.1313,-0.0708,-0.0138,-0.0406,"Bradford"
"dist.b3",0.2594,0.1892,0.2152,0.1998,0.1717,0.1315,-0.0703,-0.0153,-0.0402,"Bradford"
"dist.c3",0.2611,0.191,0.2171,0.2049,0.1728,0.1332,-0.0701,-0.0122,-0.0396,"Bradford"
