"","rci2001","rci2011","rci2001.1","rci2011.1","rci2001.2","rci2011.2","jsadiff","isdiff","ibdiff","city"
"dist.a",0.2196,0.119,0.1362,0.0258,0.1026,-0.0011,-0.1006,-0.1104,-0.1037,"Birmingham"
"dist.b",0.2206,0.1232,0.143,0.0358,0.1064,0.0063,-0.0974,-0.1072,-0.1002,"Birmingham"
"dist.c",0.2192,0.1172,0.1375,0.0293,0.1028,0.001,-0.102,-0.1082,-0.1019,"Birmingham"
"dist.d",0.2207,0.1201,0.1395,0.0304,0.1044,0.002,-0.1005,-0.1091,-0.1023,"Birmingham"
"dist.a1",0.3199,0.2079,0.2444,0.1768,0.1602,0.0668,-0.112,-0.0676,-0.0934,"Leeds"
"dist.b1",0.3349,0.2273,0.2609,0.2011,0.1754,0.0826,-0.1077,-0.0598,-0.0927,"Leeds"
"dist.c1",0.334,0.2282,0.2602,0.2005,0.1755,0.0823,-0.1058,-0.0597,-0.0932,"Leeds"
"dist.d1",0.3314,0.2223,0.2568,0.194,0.1713,0.0779,-0.1091,-0.0628,-0.0934,"Leeds"
"dist.a2",0.1852,0.0338,0.1044,0.0112,0.0572,-0.0401,-0.1514,-0.0932,-0.0973,"Sheffield"
"dist.b2",0.1865,0.0342,0.1056,0.0132,0.0584,-0.0387,-0.1523,-0.0924,-0.0971,"Sheffield"
"dist.c2",0.1986,0.0542,0.1243,0.0346,0.0713,-0.0223,-0.1444,-0.0897,-0.0935,"Sheffield"
"dist.d2",0.191,0.0409,0.1119,0.0197,0.0627,-0.0338,-0.1501,-0.0923,-0.0966,"Sheffield"
"dist.a3",0.2701,0.1903,0.22,0.1986,0.176,0.1306,-0.0798,-0.0214,-0.0454,"Bradford"
"dist.b3",0.2693,0.1898,0.221,0.198,0.1761,0.1309,-0.0795,-0.0231,-0.0452,"Bradford"
"dist.c3",0.27,0.1913,0.2223,0.2026,0.1768,0.1325,-0.0787,-0.0197,-0.0443,"Bradford"
"dist.d3",0.2707,0.1905,0.2216,0.1999,0.1768,0.1312,-0.0802,-0.0217,-0.0456,"Bradford"
"dist.a4",0.1575,0.0496,0.1599,0.0542,0.1413,0.0345,-0.108,-0.1056,-0.1068,"Liverpool"
"dist.b4",0.1509,0.0404,0.1487,0.0399,0.1322,0.0229,-0.1105,-0.1088,-0.1094,"Liverpool"
"dist.c4",0.1503,0.0386,0.1456,0.0357,0.1291,0.019,-0.1117,-0.1099,-0.1101,"Liverpool"
"dist.d4",0.1534,0.0431,0.1523,0.0437,0.1348,0.0257,-0.1104,-0.1086,-0.1091,"Liverpool"
"dist.a5",0.1978,-0.0345,0.1131,-0.0597,0.0798,-0.0897,-0.2322,-0.1728,-0.1695,"Manchester"
"dist.b5",0.1905,-0.0126,0.1371,-0.0196,0.1095,-0.0477,-0.2031,-0.1567,-0.1572,"Manchester"
"dist.c5",0.207,-0.0229,0.1256,-0.045,0.0891,-0.0793,-0.2299,-0.1706,-0.1684,"Manchester"
"dist.d5",0.2015,-0.0225,0.1277,-0.0408,0.0946,-0.0723,-0.224,-0.1685,-0.1669,"Manchester"
"dist.a6",0.1504,-0.0595,-0.0197,-0.1545,0.0136,-0.1334,-0.2099,-0.1348,-0.1469,"Bristol"
"dist.b6",0.2101,0.008,0.0149,-0.1242,0.0482,-0.1103,-0.2021,-0.1391,-0.1585,"Bristol"
"dist.c6",0.2097,0.0464,0.0441,-0.0634,0.0707,-0.057,-0.1633,-0.1075,-0.1277,"Bristol"
"dist.d6",0.1996,-0.0056,0.0144,-0.1192,0.0474,-0.1041,-0.2052,-0.1337,-0.1515,"Bristol"
