"","X1","X2","X3","city"
"aci2011",0.1368,0.0338,0.0087,"Birmingham"
"log.aci2011",0.1217,0.0186,-0.0049,"Birmingham"
"aci20111",0.2242,0.1985,0.086,"Leeds"
"log.aci20111",0.2135,0.1954,0.0903,"Leeds"
"aci20112",0.1654,0.2052,0.1099,"Sheffield"
"log.aci20112",0.1323,0.1582,0.0738,"Sheffield"
"aci20113",0.185,0.1989,0.1267,"Bradford"
"log.aci20113",0.1793,0.1981,0.1272,"Bradford"
"aci20114",0.0388,0.051,0.0321,"Liverpool"
"log.aci20114",0.0364,0.043,0.0222,"Liverpool"
"aci20115",0.0037,0.0172,-0.0027,"Manchester"
"log.aci20115",0.0173,0.0344,0.0141,"Manchester"
"aci20116",-0.0342,-0.1276,-0.1158,"Bristol"
"log.aci20116",-0.0195,-0.1123,-0.1028,"Bristol"
"aci20117",0.0269,-0.0675,-0.1105,"Wakefield"
"log.aci20117",0.0143,-0.0687,-0.0991,"Wakefield"
"aci20118",0.1362,0.0759,0.0451,"Cardiff"
"log.aci20118",0.1191,0.0583,0.0292,"Cardiff"
"aci20119",-0.0666,-0.0766,-0.0471,"Coventry"
"log.aci20119",-0.0902,-0.1183,-0.0842,"Coventry"
"aci201110",0.0684,0.0266,0.0119,"Leicester"
"log.aci201110",0.0551,0.0028,-0.0228,"Leicester"
"aci201111",0.121,0.0627,0.0157,"Sunderland"
"log.aci201111",0.1159,0.0654,0.0156,"Sunderland"
"aci201112",-0.1158,-0.1711,-0.1181,"Nottingham"
"log.aci201112",-0.1198,-0.1688,-0.1158,"Nottingham"
"aci201113",-0.004,-0.0465,-0.0661,"Newcastle upon Tyne"
"log.aci201113",0.0166,-0.0284,-0.0522,"Newcastle upon Tyne"
"aci201114",0.0746,-0.005,0.033,"Kingston upon Hull"
"log.aci201114",0.0747,-0.0102,0.0248,"Kingston upon Hull"
"aci201115",0.0753,0.0239,0.0498,"Brighton and Hove"
"log.aci201115",0.0777,0.023,0.051,"Brighton and Hove"
